20231001307,李孟哲,18999441423,69,94,100,98,92,99,94.80
20231002890,王子博,15983574065,73.00,100.00,91.00,92.00,73.00,100.00,92.90
20231000153,聂斌,15983574050,94.00,97.00,76.00,88.00,97.00,95.00,92.70
20231001724,谢振宇,13997444177,94.00,95.00,91.00,69.00,98.00,94.00,91.70
20231002602,卢尚玮,15983574085,64.00,87.00,94.00,86.00,88.00,98.00,90.90
20231002601,向继平,18999441426,68.00,96.00,88.00,84.00,77.00,99.00,90.80
20231000721,徐歆然,15983574054,66.00,95.00,99.00,85.00,87.00,94.00,90.20
20231001451,王凡予,18999441424,63.00,85.00,97.00,87.00,84.00,97.00,90.10
20231001539,徐子皓,15983574083,99.00,90.00,88.00,67.00,81.00,95.00,90.00
20231004587,王亿豪,15983574073,66.00,84.00,94.00,84.00,75.00,99.00,89.80
20231002064,陈浩强,15983574060,99.00,96.00,92.00,81.00,63.00,93.00,89.60
20231004520,巴合江·加格斯拜,13997444189,87.00,91.00,64.00,90.00,94.00,93.00,89.10
20231000433,孙钰涵,15983574052,69.00,97.00,90.00,90.00,84.00,92.00,89.00
20231004114,郑博文,18999441430,75.00,89.00,70.00,97.00,70.00,97.00,88.60
20231000601,胡晏豪,13997444165,69.00,90.00,90.00,98.00,92.00,89.00,88.40
20231000940,张耀天,13997444169,99.00,80.00,97.00,76.00,74.00,91.00,88.10
20221001176,祁永峰,13997444155,97.00,64.00,89.00,78.00,96.00,91.00,87.90
20231002395,李厚泽,15983574061,92.00,98.00,81.00,98.00,89.00,84.00,87.80
20231000559,陈鑫,15983574080,90.00,91.00,67.00,98.00,83.00,89.00,87.40
20231001215,刘旭,15983574082,76.00,91.00,61.00,71.00,86.00,97.00,87.00
20231002612,伍映烨,15983574062,70.00,97.00,72.00,94.00,80.00,91.00,86.80
20231004589,赖芙江,15983574089,86.00,62.00,78.00,83.00,63.00,99.00,86.70
20231000565,黄定威,18999441418,81.00,69.00,90.00,85.00,70.00,94.00,86.50
20231000359,李月兰,18999441416,75.00,89.00,73.00,63.00,93.00,94.00,86.30
20231000354,孟威艳,15983574051,64.00,73.00,82.00,99.00,83.00,91.00,85.60
20231001318,刘羽增,13997444171,89.00,90.00,85.00,90.00,87.00,83.00,85.60
20231001237,李长勋,18999441422,60.00,75.00,88.00,99.00,93.00,88.00,85.50
20231001508,马禾,13997444173,73.00,74.00,96.00,63.00,83.00,93.00,85.40
20221004128,蔡嘉瑞,15983574049,96.00,68.00,66.00,90.00,87.00,89.00,85.20
20231000531,张毅,15983574078,60.00,84.00,88.00,73.00,72.00,95.00,85.20
20231000537,丁丁,13997444163,93.00,68.00,61.00,82.00,82.00,93.00,85.10
20231000540,蒋佰琳,18999441417,72.00,70.00,95.00,87.00,98.00,85.00,84.70
20231004013,鲁志鹏,15983574069,93.00,88.00,65.00,80.00,60.00,92.00,84.60
20231003652,叶启明,15983574068,72.00,100.00,88.00,96.00,75.00,83.00,84.60
20231004014,肖博瑞,15983574070,73.00,73.00,60.00,70.00,89.00,95.00,84.00
20231002894,王嘉漩,15983574066,91.00,73.00,71.00,79.00,80.00,89.00,83.90
20231000310,张耀,18999441415,71.00,78.00,92.00,62.00,86.00,90.00,83.90
20231000477,高原,15983574077,90.00,75.00,62.00,75.00,72.00,92.00,83.40
20231002997,杨怡凡,15983574067,68.00,77.00,64.00,94.00,86.00,89.00,83.40
20231001063,冯晓慧,18999441421,65.00,97.00,68.00,65.00,83.00,91.00,83.30
20231001193,王嘉桐,15983574056,72.00,77.00,80.00,95.00,78.00,86.00,83.20
20231001796,黄暄琪,13997444179,67.00,74.00,87.00,61.00,86.00,91.00,83.00
20231000126,刘存旭,13997444157,85.00,83.00,98.00,80.00,75.00,81.00,82.60
20231000749,杨昊澄,15983574055,100.00,68.00,90.00,93.00,87.00,77.00,82.30
20231003111,陈子艺,15983574087,99.00,100.00,78.00,71.00,73.00,79.00,81.60
20231000068,孙富强,15983574074,70.00,94.00,77.00,74.00,96.00,80.00,81.10
20231000352,施配畦,13997444159,98.00,69.00,87.00,78.00,72.00,80.00,80.40
20231000535,武珂,15983574079,89.00,77.00,87.00,77.00,98.00,75.00,80.30
20231001495,张博,15983574059,63.00,67.00,76.00,82.00,68.00,89.00,80.10
20231003191,康羽亭,13997444181,95.00,63.00,71.00,97.00,74.00,80.00,80.00
20231002771,王唯荣,15983574086,78.00,60.00,82.00,89.00,99.00,78.00,79.80
20231001199,张志坤,15983574057,95.00,89.00,90.00,95.00,63.00,73.00,79.70
